"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2014","2,512.55","2,515.82","2,524.17","2,502.06","205.80K","0.17%"
"Oct 31, 2014","2,508.32","2,473.50","2,512.19","2,466.50","239.17K","1.60%"
"Oct 30, 2014","2,468.93","2,450.36","2,474.38","2,443.76","189.63K","0.72%"
"Oct 29, 2014","2,451.38","2,423.81","2,461.27","2,415.70","158.58K","1.44%"
"Oct 28, 2014","2,416.65","2,373.16","2,416.77","2,373.16","101.52K","2.02%"
"Oct 27, 2014","2,368.83","2,377.54","2,377.54","2,361.68","73.86K","-0.92%"
"Oct 24, 2014","2,390.71","2,397.85","2,404.99","2,385.72","74.98K","-0.22%"
"Oct 23, 2014","2,395.94","2,415.44","2,424.66","2,392.53","103.49K","-0.94%"
"Oct 22, 2014","2,418.64","2,434.89","2,447.47","2,417.56","88.66K","-0.61%"
"Oct 21, 2014","2,433.39","2,453.41","2,459.26","2,432.55","96.24K","-0.87%"
"Oct 20, 2014","2,454.71","2,448.45","2,456.62","2,441.90","91.44K","0.53%"
"Oct 17, 2014","2,441.73","2,443.22","2,456.11","2,410.40","132.76K","-0.11%"
"Oct 16, 2014","2,444.39","2,448.97","2,480.30","2,441.82","158.17K","-0.79%"
"Oct 15, 2014","2,463.87","2,444.54","2,465.50","2,431.19","135.80K","0.71%"
"Oct 14, 2014","2,446.56","2,451.09","2,467.90","2,436.34","127.39K","-0.34%"
"Oct 13, 2014","2,454.95","2,457.41","2,460.39","2,430.55","131.59K","-0.48%"
"Oct 10, 2014","2,466.79","2,472.10","2,482.14","2,457.68","147.63K","-0.61%"
"Oct 09, 2014","2,481.95","2,480.20","2,488.11","2,461.11","137.92K","0.14%"
"Oct 08, 2014","2,478.38","2,460.87","2,478.38","2,445.27","121.95K","1.12%"
"Sep 30, 2014","2,450.99","2,452.17","2,454.89","2,444.20","115.80K","0.13%"
"Sep 29, 2014","2,447.80","2,443.91","2,453.66","2,435.61","123.40K","0.43%"
"Sep 26, 2014","2,437.20","2,430.81","2,439.65","2,420.50","100.30K","0.01%"
"Sep 25, 2014","2,436.97","2,453.42","2,462.67","2,429.59","138.66K","-0.20%"
"Sep 24, 2014","2,441.86","2,391.42","2,443.98","2,387.07","142.71K","1.77%"
"Sep 23, 2014","2,399.46","2,379.52","2,402.48","2,379.52","84.03K","0.86%"
"Sep 22, 2014","2,378.92","2,419.33","2,419.33","2,374.11","102.24K","-1.91%"
"Sep 19, 2014","2,425.21","2,409.31","2,430.15","2,402.31","101.81K","0.69%"
"Sep 18, 2014","2,408.66","2,396.38","2,414.95","2,389.62","115.93K","0.31%"
"Sep 17, 2014","2,401.33","2,395.36","2,405.37","2,379.09","125.27K","0.53%"
"Sep 16, 2014","2,388.76","2,440.34","2,442.92","2,386.98","186.74K","-1.99%"
"Sep 15, 2014","2,437.19","2,433.00","2,439.25","2,418.96","122.25K","-0.05%"
"Sep 12, 2014","2,438.36","2,418.75","2,438.36","2,412.62","109.16K","0.62%"
"Sep 11, 2014","2,423.45","2,430.68","2,461.47","2,417.27","132.98K","-0.37%"
"Sep 10, 2014","2,432.43","2,435.59","2,437.08","2,422.65","109.18K","-0.52%"
"Sep 09, 2014","2,445.22","2,452.23","2,454.89","2,437.08","118.19K","-0.16%"
"Sep 05, 2014","2,449.26","2,433.17","2,450.63","2,427.99","133.55K","0.95%"
"Sep 04, 2014","2,426.22","2,411.93","2,427.30","2,404.08","111.27K","0.72%"
"Sep 03, 2014","2,408.84","2,389.69","2,414.26","2,389.68","129.73K","0.94%"
"Sep 02, 2014","2,386.46","2,359.86","2,387.66","2,349.95","114.44K","1.32%"
"Sep 01, 2014","2,355.32","2,340.93","2,355.55","2,338.53","77.32K","0.73%"
"Aug 29, 2014","2,338.29","2,317.30","2,338.77","2,313.26","63.21K","1.17%"
"Aug 28, 2014","2,311.28","2,328.06","2,336.36","2,309.64","70.49K","-0.70%"
